"gemeente";"aantal_inwoners"
"Aalst";88854
"Aalter";29340
"Aarschot";30594
"Aartselaar";14610
"Affligem";13466
"Alken";11757
"Alveringem";5025
"Anderlecht";122547
"Antwerpen";530630
"Anzegem";15029
"Ardooie";9195
"Arendonk";13297
"As";8246
"Asse";34494
"Assenede";14449
"Avelgem";10291
"Baarle-Hertog";2997
"Balen";23000
"Beernem";15966
"Beerse";18378
"Beersel";26013
"Begijnendijk";10390
"Bekkevoort";6459
"Beringen";47217
"Berlaar";11730
"Berlare";15274
"Bertem";10258
"Bever";2265
"Beveren";49531
"Bierbeek";10277
"Bilzen";32455
"Blankenberge";20408
"Bocholt";13508
"Boechout";13733
"Bonheiden";15319
"Boom";18832
"Boortmeerbeek";12968
"Borgloon";11272
"Bornem";21599
"Borsbeek";11226
"Boutersem";8386
"Brakel";14850
"Brasschaat";38237
"Brecht";30143
"Bredene";18167
"Bree";16324
"Brugge";118509
"Brussel";188737
"Buggenhout";14748
"Damme";11044
"De Haan";12740
"De Panne";11122
"De Pinte";11046
"Deerlijk";12356
"Deinze";44315
"Denderleeuw";20772
"Dendermonde";46325
"Dentergem";8699
"Dessel";9686
"Destelbergen";18856
"Diepenbeek";19241
"Diest";24516
"Diksmuide";16926
"Dilbeek";44095
"Dilsen-Stokkem";20995
"Drogenbos";5770
"Duffel";17770
"Edegem";22386
"Eeklo";21775
"Elsene";87052
"Erpe-Mere";20606
"Essen";19341
"Etterbeek";48535
"Evere";43608
"Evergem";36087
"Galmaarden";8806
"Ganshoren";25252
"Gavere";13205
"Geel";41146
"Geetbets";6201
"Genk";67009
"Gent";265086
"Geraardsbergen";34328
"Gingelom";8483
"Gistel";12106
"Glabbeek";5344
"Gooik";9392
"Grimbergen";38539
"Grobbendonk";11442
"Haacht";15264
"Haaltert";18960
"Halen";9475
"Halle";41284
"Ham";11163
"Hamme";25141
"Hamont-Achel";14375
"Harelbeke";29095
"Hasselt";79524
"Hechtel-Eksel";12760
"Heers";7457
"Heist-op-den-Berg";43594
"Hemiksem";11812
"Herent";22430
"Herentals";28455
"Herenthout";9287
"Herk-de-Stad";12756
"Herne";6743
"Herselt";14731
"Herstappe";79
"Herzele";18489
"Heusden-Zolder";34243
"Heuvelland";7991
"Hoegaarden";6811
"Hoeilaart";11433
"Hoeselt";9833
"Holsbeek";10110
"Hooglede";10003
"Hoogstraten";21895
"Horebeke";2023
"Houthalen-Helchteren";30844
"Houthulst";10267
"Hove";8311
"Huldenberg";10017
"Hulshout";10560
"Ichtegem";14139
"Ieper";35039
"Ingelmunster";11294
"Izegem";28845
"Jabbeke";14222
"Jette";52751
"Kalmthout";19179
"Kampenhout";12350
"Kapelle-op-den-Bos";9610
"Kapellen";27442
"Kaprijke";6539
"Kasterlee";19140
"Keerbergen";13118
"Kinrooi";12258
"Kluisbergen";6791
"Knokke-Heist";32875
"Koekelare";8769
"Koekelberg";22023
"Koksijde";21851
"Kontich";21340
"Kortemark";12803
"Kortenaken";7916
"Kortenberg";20462
"Kortessem";8595
"Kortrijk";77741
"Kraainem";13928
"Kruibeke";16980
"Kruisem";15876
"Kuurne";13975
"Laakdal";16464
"Laarne";12518
"Lanaken";26172
"Landen";16149
"Langemark-Poelkapelle";7926
"Lebbeke";19719
"Lede";19054
"Ledegem";9738
"Lendelede";5803
"Lennik";9312
"Leopoldsburg";16125
"Leuven";102236
"Lichtervelde";9018
"Liedekerke";13651
"Lier";37309
"Lierde";6689
"Lievegem";26657
"Lille";16688
"Linkebeek";4709
"Lint";8553
"Linter";7276
"Lo-Reninge";3217
"Lochristi";22897
"Lokeren";42703
"Lommel";34396
"Londerzeel";19136
"Lubbeek";14776
"Lummen";15172
"Maarkedal";6386
"Maaseik";25524
"Maasmechelen";39409
"Machelen";16108
"Maldegem";24409
"Malle";15756
"Mechelen";86996
"Meerhout";10258
"Meise";19991
"Melle";11887
"Menen";33982
"Merchtem";17507
"Merelbeke";24886
"Merksplas";8683
"Mesen";1062
"Meulebeke";11010
"Middelkerke";19723
"Moerbeke";6685
"Mol";37600
"Moorslede";11386
"Mortsel";26189
"Nazareth";12040
"Niel";10595
"Nieuwerkerken";7027
"Nieuwpoort";11488
"Nijlen";23259
"Ninove";39626
"Olen";12582
"Oostende";71557
"Oosterzele";13840
"Oostkamp";23998
"Oostrozebeke";7972
"Opwijk";14828
"Oud-Heverlee";11470
"Oud-Turnhout";14402
"Oudenaarde";31866
"Oudenburg";9717
"Oudergem";34986
"Oudsbergen";23611
"Overijse";25888
"Peer";16449
"Pelt";33601
"Pepingen";4507
"Pittem";6793
"Poperinge";19782
"Putte";18392
"Puurs-Sint-Amands";26311
"Ranst";19366
"Ravels";15293
"Retie";11663
"Riemst";16779
"Rijkevorsel";12324
"Roeselare";64495
"Ronse";26702
"Roosdaal";11735
"Rotselaar";17294
"Ruiselede";5444
"Rumst";15254
"Schaarbeek";130690
"Schelle";8692
"Scherpenheuvel-Zichem";23375
"Schilde";20031
"Schoten";34157
"Sint-Agatha-Berchem";25298
"Sint-Genesius-Rode";18628
"Sint-Gillis";48837
"Sint-Gillis-Waas";19716
"Sint-Jans-Molenbeek";97697
"Sint-Joost-ten-Node";26965
"Sint-Katelijne-Waver";21391
"Sint-Lambrechts-Woluwe";58541
"Sint-Laureins";6940
"Sint-Lievens-Houtem";10534
"Sint-Martens-Latem";8263
"Sint-Niklaas";80167
"Sint-Pieters-Leeuw";35486
"Sint-Pieters-Woluwe";42216
"Sint-Truiden";40845
"Spiere-Helkijn";2056
"Stabroek";18782
"Staden";11530
"Steenokkerzeel";12497
"Stekene";19030
"Temse";30635
"Ternat";16283
"Tervuren";22852
"Tessenderlo";18884
"Tielt";20500
"Tielt-Winge";11037
"Tienen";35973
"Tongeren";31562
"Torhout";20517
"Tremelo";15190
"Turnhout";46372
"Ukkel";85099
"Veurne";12295
"Vilvoorde";46354
"Vleteren";3646
"Voeren";4287
"Vorselaar";8019
"Vorst";56616
"Vosselaar";11556
"Waasmunster";11022
"Wachtebeke";7847
"Waregem";38948
"Watermaal-Bosvoorde";25187
"Wellen";7459
"Wemmel";17182
"Wervik";19020
"Westerlo";25308
"Wetteren";26444
"Wevelgem";31565
"Wezembeek-Oppem";14488
"Wichelen";11765
"Wielsbeke";9917
"Wijnegem";10244
"Willebroek";27436
"Wingene";14852
"Wommelgem";13181
"Wortegem-Petegem";6517
"Wuustwezel";21523
"Zandhoven";13172
"Zaventem";35916
"Zedelgem";23157
"Zele";21349
"Zelzate";13298
"Zemst";23306
"Zoersel";22317
"Zonhoven";21473
"Zonnebeke";12556
"Zottegem";27341
"Zoutleeuw";8591
"Zuienkerke";2709
"Zulte";15943
"Zutendaal";7307
"Zwalm";8244
"Zwevegem";25140
"Zwijndrecht";19243
