NIS code van de gemeente;Code van de sector;Naam van de sector;Aantal aangiften;Totaal netto belastbaar inkomen;Gemiddeld inkomen per aangifte;Mediaan inkomen per aangifte;Interkwartiel verschil;Interkwartiele coëfficiënt;Interkwartiele assymmetrie
11001;11001A00-;AARTSELAAR-CENTRUM;1 414;57 758 306;40 847;30 905;30 797;100;30
11001;11001A01-;DE LEEUWERIK;1 531;70 106 030;45 791;33 653;37 452;111;29
11001;11001A020;BUERSTEDE;371;19 041 789;51 326;39 748;41 665;105;21
11001;11001A030;YSSELAAR;233;9 387 774;40 291;32 451;31 828;98;24
11001;11001A042;KLEINE GRIPPE;193;10 124 121;52 457;36 431;50 841;140;36
11001;11001A052;LEUG;1 290;50 606 134;39 230;31 440;29 129;93;23
11001;11001A063;TEN DORPE;460;18 451 064;40 111;32 963;27 240;83;17
11001;11001A074;BRUINEN BAARD;19;.;.;.;.;.;.
11001;11001A091;KLEISTRAAT - OEVER;309;19 530 584;63 206;37 486;56 416;150;36
11001;11001A0MA;CLEYDAEL-KASTEEL;36;.;.;25 788;26 845;104;-12
11001;11001A0PA;ZINKVAL;60;3 423 262;57 054;36 892;48 948;133;33
11001;11001A10-;'T HEIKEN;434;19 145 688;44 114;31 143;36 118;116;37
11001;11001A173;NOTELAAN;404;13 344 597;33 031;24 477;19 100;78;31
11001;11001A190;DE REUKENS;192;10 105 154;52 631;37 691;45 528;121;38
11001;11001A20-;DE KOEKOEK;513;24 982 995;48 700;38 142;43 062;113;29
11001;11001A21-;VIERPALEN;705;28 630 626;40 611;33 589;31 958;95;16
11001;11001ZZZZ;NIET TE LOKALISEREN IN EEN SECTOR;5;.;.;.;.;.;.
11002;11002A00-;ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN );1 974;58 163 152;29 465;20 423;17 755;87;38
11002;11002A01-;KLAPDORP - BROUWERSVLIET;1 098;30 960 894;28 198;20 701;19 599;95;34
11002;11002A02-;GROENPLAATS (SPAANSE WALLEN);375;12 836 600;34 231;24 007;22 765;95;29
11002;11002A03-;HOOGSTRAAT (SPAANSE WALLEN);799;22 379 907;28 010;20 243;17 982;89;25
11002;11002A04-;OUDAAN (SPAANSE WALLEN);902;27 382 971;30 358;20 968;23 684;113;32
11002;11002A05-;GEVANGENIS (SPAANSE WALLEN);1 190;31 679 301;26 621;21 352;15 420;72;25
11002;11002A10-;MEIR - LEYSSTRAAT (SP. WALLEN);1 124;38 392 726;34 157;24 172;23 422;97;24
11002;11002A11-;KIPDORP-ST.-JACOBS (SP.WALLEN);1 282;37 627 575;29 351;21 748;23 825;110;28
11002;11002A12-;K.N.S.-NAT. BANK (SP. WALLEN);674;25 488 852;37 817;26 493;28 124;106;34
11002;11002A13-;STADSWAAG-BEGIJNHOF(SP.WALLEN);1 458;38 130 990;26 153;19 346;16 349;85;35
11002;11002A14-;TABAKSVEST (SPAANSE WALLEN);663;25 006 634;37 717;27 217;27 164;100;20
11002;11002A15-;HESSENHUIS (SPAANSE WALLEN);992;31 738 462;31 994;22 918;24 561;107;33
11002;11002A21-;ST.-ANDRIES (SPAANSE WALLEN);1 890;50 029 840;26 471;20 160;15 349;76;31
11002;11002A22-;ST.-MICHIELSKAAI (SP. WALLEN);1 219;43 076 111;35 337;21 567;23 273;108;47
11002;11002B701;LINKEROEVER-ZUID (LINKEROEVER);2 991;63 098 660;21 096;17 632;10 008;57;33
11002;11002B71-;LINKEROEVER - STATION;1 152;38 450 010;33 377;26 211;22 846;87;26
11002;11002B721;LINKEROEVER-NOORD;2 145;68 353 877;31 867;24 786;22 154;89;25
11002;11002B73-;ST.-ANNA (LINKEROEVER);42;1 169 212;27 838;21 293;12 114;57;26
11002;11002B742;THOENETLAAN (LINKEROEVER);917;33 749 112;36 804;27 496;28 699;104;23
11002;11002B752;GLORIANTLAAN (LINKEROEVER);135;4 309 578;31 923;27 377;18 833;69;23
11002;11002B782;GALGEWEEL (LINKEROEVER);49;566 292;11 557;8 418;5 528;66;62
11002;11002B791;ST.-ANNABOS (LINKEROEVER );232;8 431 988;36 345;24 740;20 671;84;42
11002;11002B813;BLANCEFLOERLAAN  (LINKEROEVER);1 557;61 901 838;39 757;31 988;28 188;88;22
11002;11002B824;CHARLES DE COSTERLAAN(L.OEVER);296;5 818 588;19 657;16 522;11 705;71;44
11002;11002C20-;STATIEKWARTIER (STATIONSWIJK);230;4 464 425;19 411;18 049;12 625;70;-14
11002;11002C21-;ATHENEUM (STATIONSWIJK);1 279;32 969 176;25 777;20 611;18 134;88;27
11002;11002C22-;DE CONINCPLEIN-Z.(STATIONSW.);1 210;24 793 889;20 491;16 958;12 284;72;28
11002;11002C23-;OFFERANDESTRAAT(STATIONSWIJK );1 956;47 260 194;24 162;18 906;16 101;85;33
11002;11002C24-;PROVINCIESTRAAT(STATIONSWIJK );1 991;52 862 226;26 551;20 661;18 117;88;28
11002;11002C25-;PELIKAANSTRAAT (STATIONSWIJK );1 336;38 138 888;28 547;20 712;22 927;111;29
11002;11002C31-;JEZUITENCOLLEGE(STATIONSWIJK );692;24 136 085;34 879;26 108;27 534;105;25
11002;11002C41-;DAMBRUGGESTRAAT-N.(STATIONSW.);1 755;39 055 566;22 254;18 158;13 258;73;26
11002;11002C42-;DE ZAVEL (NOORDWIJK );1 802;36 576 798;20 298;17 322;13 625;79;21
11002;11002C43-;ST.-WILLEBRORDUS (NOORDWIJK );1 305;36 648 399;28 083;20 598;20 525;100;33
11002;11002C44-;POTGIETERSTRAAT (NOORDWIJK);993;22 840 155;23 001;19 026;15 886;83;24
11002;11002C45-;STUIVENBERG ZIEKENHUIS(NOORDW);1 366;32 221 446;23 588;19 966;18 491;93;16
11002;11002D30-;CHARLOTTALEI (OOSTWIJK);1 610;44 612 385;27 710;21 461;21 535;100;27
11002;11002D31-;ASTRID BAD (OOSTWIJK);942;25 980 936;27 581;20 091;19 855;99;29
11002;11002D32-;ST.-VINCENTIUS (OOSTWIJK);1 870;62 500 130;33 423;23 132;23 730;103;29
11002;11002D33-;STADSPARK-ZUID (OOSTWIJK);1 443;45 166 215;31 300;21 663;22 826;105;31
11002;11002D34-;DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK);3 150;110 806 444;35 177;25 175;26 607;106;29
11002;11002D35-;VAN DIEPENBEECKSTR. (OOSTWIJK);605;.;.;23 805;24 455;103;26
11002;11002D38-;GAS (OOSTWIJK);7;.;.;.;.;.;.
11002;11002D41-;STAPPAERTS - KRIJGSHOSPITAAL (OOSTWIJK);2 012;70 584 927;35 082;24 628;26 079;106;36
11002;11002D42-;LAMORINIERESTR.-ZUID (EBES) (OOSTWIJK);1 194;40 521 455;33 938;24 730;28 307;114;30
11002;11002E122;WAALSE KAAI (ZUIDWIJK);801;26 397 611;32 956;24 498;21 566;88;23
11002;11002E131;VLAAMSE KAAI (ZUIDWIJK);1 097;43 013 105;39 210;27 902;26 659;96;19
11002;11002E14-;MUSEUMWIJK (ZUIDWIJK);4 176;137 702 524;32 975;25 052;23 188;93;20
11002;11002E15-;GERECHTSHOF (ZUIDWIJK);1 034;35 950 925;34 769;24 870;24 460;98;30
11002;11002E50-;BELL (ZUIDWIJK);3 754;125 387 036;33 401;23 635;24 676;104;36
11002;11002E521;LANGE ELZENSTRAAT (ZUIDWIJK);1 903;60 712 157;31 903;24 487;23 616;96;26
11002;11002E53-;TROONPLAATS (ZUIDWIJK);1 641;48 504 145;29 558;22 547;20 868;93;23
11002;11002E551;GERECHTSHOF (ZUIDWIJK);1 510;57 581 380;38 133;26 621;27 925;105;31
11002;11002E5MJ;SPAGHETTIKNOOP (KIEL);582;22 470 534;38 609;28 010;29 589;106;24
11002;11002F11-;ST.-CATHARINA (KIEL);1 597;37 082 607;23 220;18 737;14 635;78;36
11002;11002F12-;MAURITS SABBELAAN (KIEL);1 265;26 224 275;20 731;18 148;11 875;65;30
11002;11002F21-;KOLONIELAAN (CAM. HUYSMANSL.);2 681;85 898 694;32 040;25 068;21 754;87;23
11002;11002F223;VOLHARDINGSSTRAAT (KIEL);489;9 097 194;18 604;16 581;6 831;41;44
11002;11002F60-;KIEL - CENTRUM (KIEL);827;22 264 068;26 921;22 642;18 296;81;11
11002;11002F61-;BOOMSE STWG-BEERSCHOT (KIEL);2 249;54 440 927;24 207;20 386;18 356;90;17
11002;11002F62-;BEERSCHOT - STADION (KIEL);1 289;26 455 007;20 524;18 577;12 426;67;18
11002;11002F64-;JAN DE VOSLEI (KIEL);1 133;21 380 822;18 871;16 576;9 125;55;38
11002;11002F65-;PIUS X (KIEL);1 145;33 470 422;29 232;24 859;21 751;87;20
11002;11002F6MJ;PETROLEUM - SCHELDEKADEN-Z.;3;.;.;.;.;.;.
11002;11002F6NJ;KIELSE POLDER (KIEL);2;.;.;.;.;.;.
11002;11002G51-;ST.-LAURENTIUS (ZUIDWIJK);1 666;55 674 936;33 418;24 278;25 328;104;25
